xDId,xDNumPoints,xDUsuId,xDSdk,xDSerie,xDAndroV,xDManufact
388,88,397,26,FIG-LX1,Oreo - 8,Huawei
389,1559,398,26,ANE-LX3,Oreo - 8,Huawei
515,263,524,25,SM-T550,Nougat - 7,Samsung
731,993,736,24,SM-G610M,Nougat - 7,Samsung
392,1,401,26,RNE-L23,Oreo - 8,Huawei
393,994,402,22,SM-J200H,Lollipop - 5,Samsung
289,876,298,24,E6683,Nougat - 7,Sony
984,1225,984,24,LG-M400,Nougat - 7,LG
429,39,438,22,C1,Lollipop - 5,Realme
431,97,440,26,FIG-LX3,Oreo - 8,Huawei
432,2405,441,22,GO1005,Lollipop - 5,TomTom
778,667,783,25,SM-J510MN,Nougat - 7,Samsung
435,186,444,26,G3123,Oreo - 8,Sony
359,151,368,23,MYA-L23,Marshmallow - 6,Huawei
437,16,446,21,SM-G900F,Lollipop - 5,Samsung
438,102,447,27,SM-G610M,Oreo - 8,Samsung
441,122,450,27,SM-J730GM,Oreo - 8,Samsung
442,308,451,26,ATU-LX3,Oreo - 8,Huawei
444,21,453,27,SM-J530G,Oreo - 8,Samsung
445,132,454,26,LDN-LX3,Oreo - 8,Huawei
454,74,463,26,SM-A520F,Oreo - 8,Samsung
455,31,464,27,SNE-LX3,Oreo - 8,Huawei
456,86,465,26,SM-G570M,Oreo - 8,Samsung
460,21,469,27,MI 8 Lite,Oreo - 8,Xiaomi
462,136,471,27,SM-G610M,Oreo - 8,Samsung
665,267,672,23,HUAWEI VNS-L23,Marshmallow - 6,Huawei
464,23,473,26,PRA-LX3,Oreo - 8,Huawei
969,1300,971,24,LG-M400,Nougat - 7,LG
466,38,475,27,SM-J710MN,Oreo - 8,Samsung
467,25,476,26,SM-G570M,Oreo - 8,Samsung
470,994,479,21,ALE-L23,Lollipop - 5,Huawei
472,88,481,26,SM-G930T1,Oreo - 8,Samsung
473,10,482,26,HTC U Ultra,Oreo - 8,HTC
475,119,484,26,ANE-LX3,Oreo - 8,Huawei
801,1464,805,24,LG-M400,Nougat - 7,LG
271,194,280,23,SM-J106B,Marshmallow - 6,Samsung
935,141,938,23,SM-J500M,Marshmallow - 6,Samsung
491,339,500,23,HUAWEI VNS-L23,Marshmallow - 6,Huawei
482,13,491,26,SM-A600GN,Oreo - 8,Samsung
556,388,565,23,SM-J700H,Marshmallow - 6,Samsung
654,904,661,24,SM-G570M,Nougat - 7,Samsung
340,977,349,25,SM-J250M,Nougat - 7,Samsung
478,235,487,23,SM-G532M,Marshmallow - 6,Samsung
538,250,547,23,D6503,Marshmallow - 6,Sony
493,4,502,27,SNE-LX3,Oreo - 8,Huawei
494,84,503,27,SM-G610M,Oreo - 8,Samsung
495,48,504,27,SM-J500M,Oreo - 8,Samsung
306,80,315,23,SM-G900M,Marshmallow - 6,Samsung
498,134,507,21,ALE-L23,Lollipop - 5,Huawei
499,9,508,27,Redmi Note 5,Oreo - 8,Xiaomi
502,10,511,27,SNE-LX3,Oreo - 8,Huawei
503,123,512,26,ANE-LX3,Oreo - 8,Huawei
504,118,513,22,SM-J700M,Lollipop - 5,Samsung
505,930,514,22,SM-J110M,Lollipop - 5,Samsung
506,615,515,26,G3123,Oreo - 8,Sony
507,34,516,26,RNE-L23,Oreo - 8,Huawei
183,1110,193,24,LG-M400,Nougat - 7,LG
985,1987,985,24,LG-M400,Nougat - 7,LG
516,123,525,26,SM-J400M,Oreo - 8,Samsung
523,197,532,26,SM-J400M,Oreo - 8,Samsung
525,17,534,26,ANE-LX3,Oreo - 8,Huawei
526,1,535,22,SM-J320M,Lollipop - 5,Samsung
529,289,538,26,SM-G955F,Oreo - 8,Samsung
531,46,540,26,PRA-LX3,Oreo - 8,Huawei
535,59,544,26,RNE-L23,Oreo - 8,Huawei
661,578,668,23,E5606,Marshmallow - 6,Sony
1024,625,1023,23,SM-G610M,Marshmallow - 6,Samsung
784,500,789,23,E2306,Marshmallow - 6,Sony
640,995,647,23,SM-G532M,Marshmallow - 6,Samsung
541,24,550,27,SM-J530G,Oreo - 8,Samsung
673,979,680,23,SM-G532M,Marshmallow - 6,Samsung
543,909,552,26,BAC-L23,Oreo - 8,Huawei
544,733,553,21,SM-G530H,Lollipop - 5,Samsung
545,375,554,26,ANE-LX3,Oreo - 8,Huawei
547,48,556,27,SNE-LX3,Oreo - 8,Huawei
636,1956,643,24,G3313,Nougat - 7,Sony
551,9,560,27,Redmi 5 Plus,Oreo - 8,Xiaomi
553,160,562,26,SM-G570M,Oreo - 8,Samsung
554,52,563,26,SM-G570M,Oreo - 8,Samsung
997,259,997,23,BLL-L23,Marshmallow - 6,Huawei
561,6,570,26,SM-G950F,Oreo - 8,Samsung
328,1233,337,23,SM-G532M,Marshmallow - 6,Samsung
