,datetime,lat,lng,accuracy,velocity,idDiaNum,uid,idDia,geometry,delta_t,delta_t_m,idTraj,idTrip,leaving_datetime
2,2019-10-17 09:46:27.117000192,-0.1882279,-78.492065,1299,,20191017,tld17,2019-10-17,POINT (-78.492065 -0.1882279),0 days 00:20:22.686000128,20.378100002133337,7,6,2019-10-17 09:57:21.773999872
3,2019-10-17 09:57:21.773999872,-0.1755479,-78.4888961,23,,20191017,tld17,2019-10-17,POINT (-78.48889610000001 -0.1755479),0 days 00:10:54.656999680,10.910949994666668,7,6,2019-10-17 13:26:09.546999808
4,2019-10-17 13:26:09.546999808,-0.2060308,-78.4991676,1700,,20191017,tld17,2019-10-17,POINT (-78.49916760000001 -0.2060308),0 days 00:48:06.659999744,48.11099999573334,7,7,2019-10-17 13:52:10.024000000
0,2019-10-28 07:49:50.003000064,-0.1753132,-78.4885136,16,,20191028,tld17,2019-10-28,POINT (-78.4888807 -0.1755045),0 days 00:00:56.910000128,0.9485000021333333,8,0,2019-10-28 15:23:34.579000064
1,2019-10-28 15:23:34.579000064,-0.17977322499999998,-78.50766802499999,29,,20191028,tld17,2019-10-28,POINT (-78.50775544999999 -0.17977545),0 days 00:01:34.341999872,1.5723666645333334,8,1,2019-10-28 15:30:10.484999936
2,2019-10-28 15:31:48.645999872,-0.17995615,-78.50740525,22,,20191028,tld17,2019-10-28,POINT (-78.5079277 -0.1799736),0 days 00:02:01.492000256,2.0248666709333336,8,1,2019-10-28 17:07:47.086999808
3,2019-10-28 17:07:47.086999808,-0.1810629,-78.5062697,1299,,20191028,tld17,2019-10-28,POINT (-78.5062697 -0.1810629),0 days 01:18:27.804999680,78.46341666133334,8,2,2019-10-28 17:15:46.744999936
4,2019-10-28 17:15:46.744999936,-0.1798923,-78.5078132,33,,20191028,tld17,2019-10-28,POINT (-78.5074412 -0.1800406),0 days 01:34:42.927000064,94.71545000106667,8,3,2019-10-28 19:32:48.278000128
5,2019-10-28 19:32:48.278000128,-0.1804878,-78.5044942,1299,,20191028,tld17,2019-10-28,POINT (-78.5044942 -0.1804878),0 days 00:05:40,5.666666666666667,8,3,2019-10-28 20:02:03.548000000
6,2019-10-28 20:02:03.548000000,-0.2068402,-78.5031814,17,,20191028,tld17,2019-10-28,POINT (-78.5031814 -0.2068402),0 days 00:29:15.269999872,29.25449999786667,8,3,2019-10-28 20:23:49.768000000
7,2019-10-28 20:38:05.332000000,-0.2051714,-78.5020085,1299,,20191028,tld17,2019-10-28,POINT (-78.5020085 -0.2051714),0 days 00:00:53.785000192,0.8964166698666668,8,3,2019-10-28 20:43:13.869999872
8,2019-10-28 20:43:13.869999872,-0.2068441,-78.5031755,17,,20191028,tld17,2019-10-28,POINT (-78.5031755 -0.2068441),0 days 00:05:08.537999872,5.142299997866667,8,3,2019-10-28 23:02:50.415000064
0,2019-10-29 06:02:10.677999872,-0.2051714,-78.5020085,1299,,20191029,tld17,2019-10-29,POINT (-78.5020085 -0.2051714),0 days 06:55:06.132999680,415.10221666133333,9,0,2019-10-29 06:24:00.010999808
1,2019-10-29 06:24:00.010999808,-0.2068384,-78.5031718,17,,20191029,tld17,2019-10-29,POINT (-78.5031718 -0.2068384),0 days 00:21:49.332999936,21.822216665600003,9,0,2019-10-29 07:03:44.148000000
2,2019-10-29 07:03:44.148000000,-0.2048843,-78.5020085,1200,,20191029,tld17,2019-10-29,POINT (-78.5020085 -0.2048843),0 days 00:39:44.137000192,39.735616669866666,9,1,2019-10-29 07:13:52.184999936
3,2019-10-29 07:13:52.184999936,-0.206848,-78.50317100000001,22,,20191029,tld17,2019-10-29,POINT (-78.50317100000001 -0.206848),0 days 00:10:08.036999936,10.133949998933334,9,1,2019-10-29 07:28:05.040999936
0,2019-11-06 19:03:04.530999808,-0.179902,-78.50795690000001,26,,2019116,tld17,2019-11-06,POINT (-78.5078759 -0.1799285),0 days 00:10:01.324000256,10.022066670933334,10,1,2019-11-06 20:59:04.972999936
